-- ----------------------------------------------------------------------------------|----|-- ----------------------------------------------------------------------------------|----|-- ----------------------------------------------------------------------------------

-- Textos extraidos do arquivo PLAN_BTL_DT |----|-- Textos extraidos do arquivo PLAN_BTL_DT |----|-- Textos extraidos do arquivo PLAN_BTL_DT 

-- Linhas iniciando com -- e linhas em branco sao ignoradas |----|-- Linhas iniciando com -- e linhas em branco sao ignoradas |----|-- Linhas iniciando com -- e linhas em branco sao ignoradas 

-- Formato das linhas: posicao do texto na lista de textos, texto e traducao |----|-- Formato das linhas: posicao do texto na lista de textos, texto e traducao |----|-- Formato das linhas: posicao do texto na lista de textos, texto e traducao 

-- O campos de cada linha sao separados por <=>) |----|-- O campos de cada linha sao separados por <=>) |----|-- O campos de cada linha sao separados por <=>) 

-- IMPORTANTE: edite esse arquivo com o Notepad++, pois ele esta no formato UTF-8 |----|-- IMPORTANTE: edite esse arquivo com o Notepad++, pois ele esta no formato UTF-8 |----|-- IMPORTANTE: edite esse arquivo com o Notepad++, pois ele esta no formato UTF-8 

(REPETIDO)-- ----------------------------------------------------------------------------------|----|-- ----------------------------------------------------------------------------------|----|-- ----------------------------------------------------------------------------------

|----||----|

System-Related Commands dummy help|----|System-Related Commands dummy help|----|Órdenes relacionadas con el sistema

Select No to replace with a currently held item from the party inventory.|----|Selecione «Não» para substituir um item do inventário do grupo.|----|Elige «No» para reemplazar un objeto del inventario del grupo con este artículo.

Select item to discard.|----|Selecione o item que deseja descartar.|----|Selecciona el objeto que quieres descartar.

View or change Rush's equipment.|----|Ver e modificar o equipamento do Rush.|----|Muestra y modifica el equipo de Rush.

View Rush's arts.|----|Mostra as artes do Rush.|----|Muestra las artes de Rush.

View or change unions.|----|Ver ou modificar grupos.|----|Consulta o modifica las unidades.

View party member status.|----|Ver status dos membros do grupo.|----|Muestra el estado de los personajes del grupo.

View party inventory.|----|Ver inventário do grupo.|----|Muestra el inventario del grupo.

View task list or Mr. Diggs's status.|----|Ver lista de tarefas ou status do Mr. Diggs.|----|Muestra la lista de tareas o el estado del señor Garras.

Save and load game, or change game settings.|----|Salvar e carregar jogo, ou ajustar as configurações do jogo.|----|Te permite ajustar la configuración del juego y guardar o cargar la partida.

Quit game and return to title screen.|----|Sair do jogo e retornar para a tela de título.|----|Abandona la partida y te devuelve a la pantalla de inicio.

View party's weapons and shields.|----|Ver armas e escudos do grupo.|----|Muestra las armas y escudos del grupo.

No weapons or shields in inventory.|----|Não há armas ou escudos no inventário.|----|No tienes armas ni escudos.

View party's accessories.|----|Ver acessórios do grupo.|----|Muestra los accesorios del grupo.

No accessories in inventory.|----|Não há acessórios no inventário.|----|No tienes ningún accesorio.

View party's consumables.|----|Ver consumíveis do grupo.|----|Muestra los objetos de uso único del grupo.

No consumables in inventory.|----|Não há consumíveis no inventário.|----|No tienes ningún objeto de uso único.

View party's components.|----|Ver componentes do grupo.|----|Muestra los componentes del grupo.

No components in inventory.|----|Não há componentes no inventário.|----|No tienes ningún componente.

View party's captured monsters.|----|Ver monstros capturados pelo grupo.|----|Muestra los monstruos capturados por el grupo.

No monsters are presently captured.|----|No momento não há monstros capturados.|----|No has capturado a ningún monstruo.

View party's special items.|----|Ver itens especiais do grupo.|----|Muestra los objetos especiales del grupo.

No special items in inventory.|----|Não há itens especiais no inventário.|----|No tienes ningún objeto especial.

Select a slot to change its equipment.|----|Selecione um espaço para alterar o equipamento.|----|Elige la posición cuyo equipo deseas modificar.

Please equip something to the main slot.|----|Por favor equipe alguma coisa na mão direita.|----|Tienes que asignar algún objeto a la mano principal.

Select item to equip.|----|Selecione o item para equipar.|----|Selecciona el objeto que deseas asignar.

If you equip a two-handed item, the sub slot will become unusable.|----|Se você equipar um item que requer duas mãos, não poderá equipar nada na mão esquerda.|----|Si le asignas a un personaje un objeto que requiera ambas manos, no podrás asignarle nada a la mano secundaria.

Rush cannot equip this item.|----|Rush não pode ser equipado com esse item.|----|No puedes asignar este objeto a Rush.

This item can only be equipped in the main slot.|----|Esse item só pode ser equipado na mão direita.|----|Sólo puedes asignar este objeto a la mano principal.

This item can only be equipped in the sub slot.|----|Este item só pode ser equipado na mão esquerda.|----|Sólo puedes asignar este objeto a la mano secundaria.

Remove current equipment and return it to the party inventory.|----|Remover o equipamento atual e guardá-lo para o inventário do grupo.|----|Devuelve el equipo actual al inventario del grupo.

The main slot cannot be empty.|----|A mão direita não pode ficar vazia.|----|No puedes dejar vacía la mano principal.

This item cannot be changed or removed.|----|Esse item não pode ser alterado ou removido.|----|No es posible cambiar ni quitar este artículo.

Equip this item.|----|Equipar esse item.|----|Asigna este objeto.

(REPETIDO)Rush cannot equip this item.|----|Rush não pode ser equipado com esse item.|----|No puedes asignar este objeto a Rush.

Discard this item.|----|Descartar esse item.|----|Descarta este objeto.

This item cannot be discarded.|----|Esse item não pode ser descartado.|----|No es posible descartar este objeto.

Discarded items cannot be returned. Think carefully before discarding items.|----|Itens descartados não podem ser recuperados. Pense com cuidado antes de descartar um item.|----|Los objetos descartados no se pueden recuperar. Piénsatelo bien antes de descartar algo.

Create a union.|----|Criar um grupo.|----|Crea una unidad.

There are no reserve leaders to create a union.|----|Não há líderes na reserva para criar um grupo.|----|No hay líderes en reserva con los que crear una unidad.

A union cannot be created because the maximum leader capacity per battle has already been reached.|----|Não é possível criar mais grupos porque já foi alcançado o número máximo de líderes por batalha.|----|No puedes crear más unidades porque ya has alcanzado el número máximo de líderes por batalla.

View status of union members.|----|Ver status dos membros do grupo.|----|Muestra el estado de los miembros de la unidad.

